transaction_id,category_key,amount,gst_rate,itc_eligible,claimed_itc,itc_claimed_but_blocked,late_filing_days,has_valid_gstin,is_round_number_amount,tax_amount,estimated_penalty_exposure,risk_level
RISK000038,sales_revenue,111375.78,18,Not Applicable,False,False,0,True,False,20047.64,0.0,Low
RISK000039,employee_travel,147279.57,5,Blocked,True,True,0,True,False,7363.98,10000.0,Medium
RISK000040,exempt_non_gst,106000,exempt,Not Applicable,True,False,0,True,True,0.0,0.0,Low
RISK000041,capital_goods,135204.9,18,Eligible,True,False,0,False,False,24336.88,500.0,Low
RISK000042,employee_travel,8428.46,5,Blocked,True,True,73,True,False,421.42,13665.17,Medium
RISK000043,rent,134110.33,18,Eligible,True,False,0,True,False,24139.86,0.0,Low
RISK000044,food_catering,63577.35,5,Blocked,False,False,0,True,False,3178.87,0.0,Low
RISK000045,capital_goods,15115.51,18,Eligible,True,False,0,False,False,2720.79,500.0,Low
RISK000046,rent,74220.65,18,Eligible,True,False,91,True,False,13359.72,5149.54,Medium
RISK000047,sales_revenue,130968.28,18,Not Applicable,True,False,39,False,False,23574.29,2903.4,Medium
RISK000048,input_services,53260.95,18,Eligible,False,False,20,True,False,9586.97,1094.56,Low
RISK000049,works_contract,68904.62,18,Blocked,True,True,65,True,False,12402.83,13647.57,Medium
RISK000050,exempt_non_gst,10634.38,exempt,Not Applicable,True,False,6,True,False,0.0,300.0,Low
RISK000051,employee_insurance,195969.69,18,Blocked,True,True,0,True,False,35274.54,10000.0,Medium
RISK000052,capital_goods,15511.15,18,Eligible,False,False,70,True,False,2792.01,3596.38,Medium
RISK000053,club_membership,30044.71,18,Blocked,True,True,0,False,False,5408.05,10500.0,Medium
RISK000054,exempt_non_gst,8459.03,exempt,Not Applicable,True,False,86,True,False,0.0,4300.0,Medium
RISK000055,exempt_non_gst,81572.29,exempt,Not Applicable,True,False,0,False,False,0.0,500.0,Low
RISK000056,sales_revenue,162248.96,18,Not Applicable,False,False,0,True,False,29204.81,0.0,Low
RISK000057,motor_vehicle,160545.91,28,Blocked,False,False,35,True,False,44952.85,2525.9,Medium
RISK000058,motor_vehicle,174497.27,28,Blocked,False,False,0,True,False,48859.24,0.0,Low
RISK000059,utilities,164197.01,18,Eligible,False,False,0,True,False,29555.46,0.0,Low
RISK000060,utilities,172938.41,18,Eligible,False,False,0,True,False,31128.91,0.0,Low
RISK000061,exempt_non_gst,107475.04,exempt,Not Applicable,False,False,0,False,False,0.0,500.0,Low
RISK000062,utilities,8132.31,18,Eligible,True,False,0,True,False,1463.82,0.0,Low
RISK000063,club_membership,23571.33,18,Blocked,False,False,0,True,False,4242.84,0.0,Low
RISK000064,club_membership,185152.25,18,Blocked,True,True,95,True,False,33327.4,16311.37,High
RISK000065,motor_vehicle,14459.78,28,Blocked,True,True,0,True,False,4048.74,10000.0,Medium
RISK000066,works_contract,180059.34,18,Blocked,True,True,42,True,False,32410.68,12771.3,Medium
RISK000067,input_services,38772.1,18,Eligible,True,False,0,True,False,6978.98,0.0,Low
RISK000068,employee_travel,60539.5,5,Blocked,True,True,0,True,False,3026.97,10000.0,Medium
RISK000069,employee_travel,121528.98,5,Blocked,True,True,0,True,False,6076.45,10000.0,Medium
RISK000070,sales_revenue,180285.57,18,Not Applicable,False,False,0,True,False,32451.4,0.0,Low
RISK000071,employee_insurance,124042.53,18,Blocked,True,True,31,True,False,22327.66,11891.34,Medium
RISK000072,rent,30000,18,Eligible,True,False,79,True,True,5400.0,4160.38,Medium
RISK000073,motor_vehicle,177284.31,28,Blocked,True,True,50,True,False,49639.61,13723.99,Medium
RISK000074,employee_insurance,137680.67,18,Blocked,False,False,114,True,False,24782.52,7093.25,Medium
RISK000075,input_services,160919.92,18,Eligible,True,False,0,True,False,28965.59,0.0,Low
RISK000076,capital_goods,91564.13,18,Eligible,False,False,72,True,False,16481.54,4185.21,Medium
RISK000077,food_catering,122724.14,5,Blocked,False,False,0,True,False,6136.21,0.0,Low
RISK000078,input_services,148859.26,18,Eligible,True,False,0,True,False,26794.67,0.0,Low
RISK000079,sales_revenue,155646.13,18,Not Applicable,True,False,0,True,False,28016.3,0.0,Low
RISK000080,rent,54707.16,18,Eligible,True,False,0,True,False,9847.29,0.0,Low
RISK000081,works_contract,30984.65,18,Blocked,True,True,0,True,False,5577.24,10000.0,Medium
RISK000082,purchase_goods,42000,18,Eligible,True,False,75,False,True,7560.0,4529.62,Medium
RISK000083,sales_revenue,115350.22,18,Not Applicable,True,False,39,True,False,20763.04,2349.33,Medium
RISK000084,exempt_non_gst,84094.75,exempt,Not Applicable,False,False,0,True,False,0.0,0.0,Low
RISK000085,rent,54950.59,18,Eligible,True,False,0,True,False,9891.11,0.0,Low
RISK000086,works_contract,33000,18,Blocked,True,True,0,True,True,5940.0,10000.0,Medium
RISK000087,motor_vehicle,118582.61,28,Blocked,True,True,0,True,False,33203.13,10000.0,Medium
RISK000088,input_services,10531.78,18,Eligible,True,False,0,True,False,1895.72,0.0,Low
RISK000089,motor_vehicle,56012.19,28,Blocked,False,False,0,True,False,15683.41,0.0,Low
RISK000090,works_contract,108114.1,18,Blocked,False,False,0,True,False,19460.54,0.0,Low
RISK000091,employee_insurance,8531.5,18,Blocked,True,True,0,True,False,1535.67,10000.0,Medium
RISK000092,rent,25681.08,18,Eligible,True,False,28,True,False,4622.59,1463.83,Low
RISK000093,bank_charges,33973.93,18,Eligible,True,False,15,True,False,6115.31,795.24,Low
RISK000094,utilities,22065.7,18,Eligible,True,False,0,True,False,3971.83,0.0,Low
RISK000095,motor_vehicle,188323.38,28,Blocked,True,True,107,True,False,52730.55,18132.44,High
RISK000096,sales_revenue,60665.75,18,Not Applicable,True,False,102,False,False,10919.83,6149.28,Medium
RISK000097,bank_charges,107000,18,Eligible,True,False,0,True,True,19260.0,0.0,Low
RISK000098,motor_vehicle,164555.02,28,Blocked,True,True,82,False,False,46075.41,16463.21,High
RISK000099,input_services,87379.69,18,Eligible,False,False,35,True,False,15728.34,2021.48,Medium
RISK000100,sales_revenue,96957.75,18,Not Applicable,True,False,35,True,False,17452.4,2051.23,Medium
RISK000101,capital_goods,56146.19,18,Eligible,True,False,73,True,False,10106.31,4013.83,Medium
RISK000102,purchase_goods,99114.15,18,Eligible,True,False,0,True,False,17840.55,0.0,Low
RISK000103,utilities,176123.84,18,Eligible,False,False,0,True,False,31702.29,0.0,Low
RISK000104,capital_goods,48650.53,18,Eligible,True,False,31,True,False,8757.1,1683.88,Low
RISK000105,food_catering,89910.82,5,Blocked,True,True,0,True,False,4495.54,10000.0,Medium
RISK000106,employee_insurance,116520.34,18,Blocked,True,True,0,True,False,20973.66,10000.0,Medium
RISK000107,bank_charges,70686.2,18,Eligible,True,False,0,True,False,12723.52,0.0,Low
RISK000108,bank_charges,24351.17,18,Eligible,True,False,24,True,False,4383.21,1251.88,Low
RISK000109,utilities,145054.71,18,Eligible,False,False,0,True,False,26109.85,0.0,Low
RISK000110,rent,59601.17,18,Eligible,True,False,0,True,False,10728.21,0.0,Low
RISK000111,purchase_goods,194871.84,18,Eligible,True,False,17,True,False,35076.93,1144.07,Low
RISK000112,capital_goods,174607.59,18,Eligible,True,False,0,True,False,31429.37,0.0,Low
RISK000113,purchase_goods,50869.44,18,Eligible,False,False,0,True,False,9156.5,0.0,Low
RISK000114,employee_travel,126074.42,5,Blocked,True,True,0,True,False,6303.72,10000.0,Medium
RISK000115,rent,24131.09,18,Eligible,False,False,102,True,False,4343.6,5318.49,Medium
RISK000116,motor_vehicle,90377.64,28,Blocked,True,True,55,True,False,25305.74,13436.37,Medium
RISK000117,employee_travel,192041.7,5,Blocked,True,True,81,True,False,9602.08,14433.56,Medium
RISK000118,input_services,48353.1,18,Eligible,True,False,0,True,False,8703.56,0.0,Low
RISK000119,food_catering,59000,5,Blocked,True,True,90,True,True,2950.0,14630.93,Medium
RISK000120,rent,184820.25,18,Eligible,False,False,85,True,False,33267.64,5644.51,Medium
RISK000121,capital_goods,109000,18,Eligible,True,False,106,True,True,19620.0,6325.62,Medium
RISK000122,sales_revenue,61868.56,18,Not Applicable,False,False,37,True,False,11136.34,2053.2,Medium
RISK000123,utilities,140096.87,18,Eligible,False,False,0,True,False,25217.44,0.0,Low
RISK000124,purchase_goods,177939.87,18,Eligible,False,False,4,True,False,32029.18,263.18,Low
RISK000125,exempt_non_gst,172173.12,exempt,Not Applicable,True,False,0,True,False,0.0,0.0,Low
RISK000126,employee_travel,8526.22,5,Blocked,False,False,0,True,False,426.31,0.0,Low
RISK000127,input_services,199390.62,18,Eligible,True,False,12,True,False,35890.31,812.39,Low
RISK000128,bank_charges,134191.64,18,Eligible,False,False,0,True,False,24154.5,0.0,Low
RISK000129,motor_vehicle,162806.42,28,Blocked,True,True,0,True,False,45585.8,10000.0,Medium
RISK000130,sales_revenue,81132.92,18,Not Applicable,True,False,85,True,False,14603.93,4862.16,Medium
RISK000131,purchase_goods,38000,18,Eligible,True,False,81,True,True,6840.0,4323.23,Medium
RISK000132,utilities,110069.32,18,Eligible,False,False,0,True,False,19812.48,0.0,Low
RISK000133,employee_insurance,121969.9,18,Blocked,True,True,0,True,False,21954.58,10000.0,Medium
RISK000134,capital_goods,45327.78,18,Eligible,False,False,0,False,False,8159.0,500.0,Low
RISK000135,input_services,99925.91,18,Eligible,False,False,0,True,False,17986.66,0.0,Low
RISK000136,food_catering,49124.32,5,Blocked,True,True,0,False,False,2456.22,10500.0,Medium
RISK000137,input_services,172873.37,18,Eligible,True,False,54,True,False,31117.21,3528.66,Medium
RISK000138,utilities,164199.62,18,Eligible,True,False,0,True,False,29555.93,0.0,Low
RISK000139,food_catering,173119.49,5,Blocked,True,True,0,True,False,8655.97,10000.0,Medium
RISK000140,motor_vehicle,91341.25,28,Blocked,True,True,0,True,False,25575.55,10000.0,Medium
RISK000141,rent,171274.59,18,Eligible,True,False,0,True,False,30829.43,0.0,Low
RISK000142,motor_vehicle,78000,28,Blocked,True,True,20,True,True,21840.0,11215.41,Medium
RISK000143,club_membership,193088.04,18,Blocked,True,True,0,True,False,34755.85,10000.0,Medium
RISK000144,food_catering,3561.85,5,Blocked,True,True,20,True,False,178.09,11001.76,Medium
RISK000145,utilities,68042.97,18,Eligible,True,False,110,True,False,12247.73,6164.4,Medium
RISK000146,club_membership,76311.87,18,Blocked,True,True,98,True,False,13736.14,15563.85,High
RISK000147,employee_travel,14149.94,5,Blocked,True,True,30,True,False,707.5,11510.47,Medium
RISK000148,capital_goods,152193.75,18,Eligible,False,False,0,True,False,27394.88,0.0,Low
RISK000149,purchase_goods,9675.2,18,Eligible,False,False,0,True,False,1741.54,0.0,Low
RISK000150,club_membership,82704.32,18,Blocked,True,True,0,True,False,14886.78,10000.0,Medium
RISK000151,motor_vehicle,124132.22,28,Blocked,True,True,19,True,False,34757.02,11275.67,Medium
RISK000152,food_catering,51437.68,5,Blocked,True,True,116,True,False,2571.88,15947.13,High
RISK000153,capital_goods,88625.09,18,Eligible,True,False,82,False,False,15952.52,5245.09,Medium
RISK000154,food_catering,169138.13,5,Blocked,True,True,0,True,False,8456.91,10000.0,Medium
RISK000155,employee_travel,72112.35,5,Blocked,True,True,3,False,False,3605.62,10655.33,Medium
RISK000156,utilities,2115.54,18,Eligible,False,False,7,False,False,380.8,851.31,Low
RISK000157,exempt_non_gst,180878.98,exempt,Not Applicable,True,False,78,True,False,0.0,3900.0,Medium
RISK000158,rent,124367.79,18,Eligible,True,False,85,True,False,22386.2,5188.38,Medium
RISK000159,capital_goods,180729.04,18,Eligible,True,False,0,True,False,32531.23,0.0,Low
RISK000160,works_contract,26716.66,18,Blocked,False,False,0,True,False,4809.0,0.0,Low
RISK000161,sales_revenue,108111.85,18,Not Applicable,False,False,0,False,False,19460.13,500.0,Low
RISK000162,utilities,182852.77,18,Eligible,False,False,38,True,False,32913.5,2516.79,Medium
RISK000163,capital_goods,93932.11,18,Eligible,True,False,29,True,False,16907.78,1691.8,Low
RISK000164,motor_vehicle,193000,28,Blocked,False,False,0,True,True,54040.0,0.0,Low
RISK000165,club_membership,25155.95,18,Blocked,True,True,34,True,False,4528.07,11775.92,Medium
RISK000166,bank_charges,22115.05,18,Eligible,True,False,0,False,False,3980.71,500.0,Low
RISK000167,employee_travel,44662.76,5,Blocked,True,True,117,True,False,2233.14,15978.85,High
RISK000168,capital_goods,28385.51,18,Eligible,False,False,0,True,False,5109.39,0.0,Low
RISK000169,club_membership,27564.98,18,Blocked,True,True,96,True,False,4961.7,15034.9,High
RISK000170,employee_travel,148582.67,5,Blocked,True,True,0,True,False,7429.13,10000.0,Medium
RISK000171,motor_vehicle,187841.09,28,Blocked,True,True,28,True,False,52595.51,12126.25,Medium
RISK000172,exempt_non_gst,72855.86,exempt,Not Applicable,False,False,0,False,False,0.0,500.0,Low
RISK000173,purchase_goods,79928.86,18,Eligible,True,False,0,True,False,14387.19,0.0,Low
RISK000174,employee_insurance,42815.11,18,Blocked,True,True,7,True,False,7706.72,10376.6,Medium
RISK000175,input_services,157502.13,18,Eligible,True,False,71,True,False,28350.38,4542.65,Medium
RISK000176,exempt_non_gst,46983.24,exempt,Not Applicable,False,False,77,True,False,0.0,3850.0,Medium
RISK000177,input_services,198000,18,Eligible,True,False,15,True,True,35640.0,1013.64,Low
RISK000178,purchase_goods,72000,18,Eligible,False,False,3,True,True,12960.0,169.17,Low
RISK000179,works_contract,84481.63,18,Blocked,True,True,0,True,False,15206.69,10000.0,Medium
RISK000180,employee_travel,22256.27,5,Blocked,True,True,6,True,False,1112.81,10303.29,Medium
RISK000181,employee_insurance,104529.52,18,Blocked,True,True,8,False,False,18815.31,10974.23,Medium
RISK000182,motor_vehicle,137376.45,28,Blocked,True,True,10,False,False,38465.41,11189.69,Medium
RISK000183,input_services,13603.61,18,Eligible,True,False,71,True,False,2448.65,3635.74,Medium
RISK000184,employee_travel,106346.09,5,Blocked,True,True,13,True,False,5317.3,10684.09,Medium
RISK000185,employee_insurance,130357.87,18,Blocked,False,False,28,True,False,23464.42,1724.0,Low
RISK000186,motor_vehicle,68116.86,28,Blocked,True,True,0,True,False,19072.72,10000.0,Medium
RISK000187,employee_insurance,51350.51,18,Blocked,False,False,61,True,False,9243.09,3328.05,Medium
RISK000188,capital_goods,87000,18,Eligible,False,False,0,True,True,15660.0,0.0,Low
RISK000189,club_membership,112555.83,18,Blocked,True,True,0,True,False,20260.05,10000.0,Medium
RISK000190,motor_vehicle,173684.38,28,Blocked,False,False,77,True,False,48631.63,5696.67,Medium
RISK000191,club_membership,42941.39,18,Blocked,True,True,0,True,False,7729.45,10000.0,Medium
RISK000192,bank_charges,23419.62,18,Eligible,True,False,0,True,False,4215.53,0.0,Low
RISK000193,sales_revenue,163776.16,18,Not Applicable,True,False,4,True,False,29479.71,258.15,Low
RISK000194,works_contract,53855.82,18,Blocked,True,True,40,False,False,9694.05,12691.23,Medium
RISK000195,input_services,174037.61,18,Eligible,True,False,0,True,False,31326.77,0.0,Low
RISK000196,purchase_goods,18805.66,18,Eligible,True,False,0,True,False,3385.02,0.0,Low
RISK000197,utilities,144458.4,18,Eligible,False,False,11,False,False,26002.51,1191.05,Low
RISK000198,sales_revenue,123758.72,18,Not Applicable,True,False,0,True,False,22276.57,0.0,Low
RISK000199,food_catering,83129.66,5,Blocked,True,True,0,True,False,4156.48,10000.0,Medium
RISK000200,employee_insurance,135858.01,18,Blocked,True,True,6,True,False,24454.44,10372.36,Medium
RISK000201,purchase_goods,2033.57,18,Eligible,True,False,0,True,False,366.04,0.0,Low
RISK000202,bank_charges,24436.88,18,Eligible,True,False,0,True,False,4398.64,0.0,Low
RISK000203,rent,100302.34,18,Eligible,False,False,10,True,False,18054.42,589.04,Low
RISK000204,motor_vehicle,4238.94,28,Blocked,False,False,74,True,False,1186.9,3743.31,Medium
RISK000205,employee_insurance,83829.94,18,Blocked,True,True,0,True,False,15089.39,10000.0,Medium
RISK000206,employee_travel,92289.33,5,Blocked,True,True,0,True,False,4614.47,10000.0,Medium
RISK000207,motor_vehicle,117979.82,28,Blocked,True,True,0,True,False,33034.35,10000.0,Medium
RISK000208,bank_charges,155934.01,18,Eligible,True,False,68,True,False,28068.12,4341.24,Medium
RISK000209,bank_charges,70544.4,18,Eligible,False,False,19,True,False,12697.99,1068.98,Low
RISK000210,rent,35113.05,18,Eligible,True,False,10,True,False,6320.35,531.17,Low
RISK000211,food_catering,93058.64,5,Blocked,True,True,88,False,False,4652.93,15101.92,High
RISK000212,employee_insurance,197000,18,Blocked,True,True,41,True,True,35460.0,12766.97,Medium
RISK000213,food_catering,126461.33,5,Blocked,False,False,46,True,False,6323.07,2443.44,Medium
RISK000214,food_catering,8002.65,5,Blocked,True,True,0,True,False,400.13,10000.0,Medium
RISK000215,capital_goods,123194.17,18,Eligible,True,False,0,True,False,22174.95,0.0,Low
RISK000216,purchase_goods,90221.87,18,Eligible,False,False,42,True,False,16239.94,2436.37,Medium
RISK000217,purchase_goods,90379.36,18,Eligible,False,False,92,True,False,16268.28,5338.09,Medium
RISK000218,purchase_goods,49924.87,18,Eligible,True,False,0,True,False,8986.48,0.0,Low
RISK000219,bank_charges,183628.39,18,Eligible,True,False,87,True,False,33053.11,5768.11,Medium
RISK000220,employee_insurance,67262.54,18,Blocked,True,True,50,True,False,12107.26,12798.54,Medium
RISK000221,employee_insurance,192899.8,18,Blocked,True,True,0,True,False,34721.96,10000.0,Medium
RISK000222,bank_charges,62391.23,18,Eligible,True,False,17,True,False,11230.42,944.15,Low
RISK000223,utilities,112004.95,18,Eligible,True,False,0,True,False,20160.89,0.0,Low
RISK000224,works_contract,199434.24,18,Blocked,False,False,0,True,False,35898.16,0.0,Low
RISK000225,purchase_goods,72838.23,18,Eligible,True,False,0,False,False,13110.88,500.0,Low
RISK000226,rent,199995.34,18,Eligible,True,False,0,True,False,35999.16,0.0,Low
RISK000227,club_membership,167106.41,18,Blocked,False,False,0,True,False,30079.15,0.0,Low
RISK000228,input_services,119650.66,18,Eligible,True,False,0,True,False,21537.12,0.0,Low
RISK000229,input_services,144376.01,18,Eligible,True,False,0,True,False,25987.68,0.0,Low
RISK000230,employee_travel,57343.12,5,Blocked,False,False,0,True,False,2867.16,0.0,Low
RISK000231,sales_revenue,156981.86,18,Not Applicable,False,False,0,True,False,28256.73,0.0,Low
RISK000232,food_catering,92605.16,5,Blocked,True,True,0,True,False,4630.26,10000.0,Medium
RISK000233,exempt_non_gst,40339.7,exempt,Not Applicable,True,False,7,True,False,0.0,350.0,Low
RISK000234,club_membership,186891.56,18,Blocked,False,False,0,True,False,33640.48,0.0,Low
RISK000235,input_services,54921.86,18,Eligible,False,False,0,True,False,9885.93,0.0,Low
RISK000236,rent,163432.3,18,Eligible,False,False,54,True,False,29417.81,3483.4,Medium
RISK000237,rent,77540.14,18,Eligible,True,False,0,True,False,13957.23,0.0,Low
RISK000238,works_contract,130167.16,18,Blocked,False,False,0,True,False,23430.09,0.0,Low
RISK000239,works_contract,166306.54,18,Blocked,False,False,0,True,False,29935.18,0.0,Low
RISK000240,purchase_goods,51556.82,18,Eligible,False,False,0,True,False,9280.23,0.0,Low
RISK000241,capital_goods,155346.44,18,Eligible,True,False,0,True,False,27962.36,0.0,Low
RISK000242,employee_travel,91694.17,5,Blocked,True,True,77,True,False,4584.71,14024.09,Medium
RISK000243,employee_travel,48766.66,5,Blocked,True,True,0,True,False,2438.33,10000.0,Medium
RISK000244,motor_vehicle,37869.13,28,Blocked,True,True,0,True,False,10603.36,10000.0,Medium
RISK000245,club_membership,102000,18,Blocked,False,False,50,True,True,18360.0,2952.71,Medium
RISK000246,motor_vehicle,196217.36,28,Blocked,True,True,0,True,False,54940.86,10000.0,Medium
RISK000247,works_contract,132000,18,Blocked,True,True,97,True,True,23760.0,15986.57,High
RISK000248,club_membership,68040.18,18,Blocked,True,True,88,True,False,12247.23,14931.5,Medium
RISK000249,employee_insurance,36864.46,18,Blocked,True,True,59,True,False,6635.6,13143.07,Medium
RISK000250,sales_revenue,40294.23,18,Not Applicable,True,False,66,True,False,7252.96,3536.07,Medium
RISK000251,food_catering,51036.1,5,Blocked,False,False,0,True,False,2551.8,0.0,Low
RISK000252,exempt_non_gst,131318.41,exempt,Not Applicable,True,False,56,False,False,0.0,3300.0,Medium
RISK000253,motor_vehicle,68137.81,28,Blocked,True,True,48,False,False,19078.59,13351.61,Medium
RISK000254,sales_revenue,16981.0,18,Not Applicable,True,False,0,False,False,3056.58,500.0,Low
RISK000255,utilities,64581.68,18,Eligible,True,False,40,True,False,11624.7,2229.31,Medium
RISK000256,input_services,138108.08,18,Eligible,True,False,0,True,False,24859.45,0.0,Low
RISK000257,motor_vehicle,55273.79,28,Blocked,False,False,10,True,False,15476.66,576.32,Low
RISK000258,club_membership,160318.65,18,Blocked,True,True,19,True,False,28857.36,11220.39,Medium
RISK000259,food_catering,7442.39,5,Blocked,True,True,47,True,False,372.12,12358.63,Medium
RISK000260,purchase_goods,121000,18,Eligible,True,False,48,True,True,21780.0,2915.56,Medium
RISK000261,input_services,106000,18,Eligible,True,False,32,False,True,19080.0,2401.1,Medium
RISK000262,input_services,100059.27,18,Eligible,True,False,34,True,False,18010.67,2001.99,Medium
RISK000263,rent,199274.84,18,Eligible,True,False,63,True,False,35869.47,4264.41,Medium
RISK000264,capital_goods,90682.52,18,Eligible,False,False,0,True,False,16322.85,0.0,Low
RISK000265,exempt_non_gst,197321.64,exempt,Not Applicable,True,False,71,True,False,0.0,3550.0,Medium
RISK000266,exempt_non_gst,31922.3,exempt,Not Applicable,False,False,23,True,False,0.0,1150.0,Low
RISK000267,capital_goods,197033.94,18,Eligible,False,False,0,True,False,35466.11,0.0,Low
RISK000268,employee_travel,74000,5,Blocked,False,False,79,False,True,3700.0,4594.15,Medium
RISK000269,motor_vehicle,199919.21,28,Blocked,False,False,0,True,False,55977.38,0.0,Low
RISK000270,capital_goods,25502.69,18,Eligible,True,False,0,True,False,4590.48,0.0,Low
RISK000271,input_services,175653.05,18,Eligible,False,False,24,True,False,31617.55,1574.21,Low
RISK000272,club_membership,182187.1,18,Blocked,True,True,0,True,False,32793.68,10000.0,Medium
RISK000273,bank_charges,186980.2,18,Eligible,True,False,67,False,False,33656.44,4962.05,Medium
RISK000274,utilities,39662.23,18,Eligible,False,False,0,True,False,7139.2,0.0,Low
RISK000275,capital_goods,100763.34,18,Eligible,True,False,20,True,False,18137.4,1178.89,Low
RISK000276,employee_travel,67855.11,5,Blocked,False,False,0,True,False,3392.76,0.0,Low
RISK000277,employee_insurance,154318.96,18,Blocked,True,True,0,True,False,27777.41,10000.0,Medium
RISK000278,purchase_goods,99858.59,18,Eligible,True,False,0,False,False,17974.55,500.0,Low
RISK000279,sales_revenue,161566.19,18,Not Applicable,True,False,0,True,False,29081.91,0.0,Low
RISK000280,motor_vehicle,97108.1,28,Blocked,True,True,41,True,False,27190.27,12599.76,Medium
RISK000281,exempt_non_gst,69401.43,exempt,Not Applicable,True,False,66,True,False,0.0,3300.0,Medium
RISK000282,food_catering,24943.12,5,Blocked,True,True,0,True,False,1247.16,10000.0,Medium
RISK000283,exempt_non_gst,123267.8,exempt,Not Applicable,True,False,21,True,False,0.0,1050.0,Low
RISK000284,works_contract,62886.63,18,Blocked,False,False,0,True,False,11319.59,0.0,Low
RISK000285,utilities,99725.37,18,Eligible,True,False,0,True,False,17950.57,0.0,Low
RISK000286,employee_travel,70902.57,5,Blocked,True,True,0,False,False,3545.13,10500.0,Medium
RISK000287,food_catering,57506.8,5,Blocked,True,True,0,True,False,2875.34,10000.0,Medium
RISK000288,bank_charges,152889.42,18,Eligible,True,False,0,True,False,27520.1,0.0,Low
RISK000289,club_membership,58076.04,18,Blocked,True,True,0,True,False,10453.69,10000.0,Medium
RISK000290,employee_travel,136239.53,5,Blocked,True,True,51,True,False,6811.98,12721.33,Medium
RISK000291,club_membership,187820.24,18,Blocked,False,False,0,True,False,33807.64,0.0,Low
RISK000292,purchase_goods,8263.34,18,Eligible,False,False,67,True,False,1487.4,3399.15,Medium
RISK000293,club_membership,28386.31,18,Blocked,False,False,0,True,False,5109.54,0.0,Low
