transaction_id,date,description_raw,description_clean,amount,gst_rate,cgst_amount,sgst_amount,igst_amount,vendor_name,vendor_gstin,document_type,category,category_key,itc_eligible,itc_blocked_reason,source
TXN002539,2025-09-13,"Sale invoice to Hans, Patel and Sha","Sale invoice to Hans, Patel and Sha",278672.65,18,25080.54,25080.54,0.0,"Hans, Patel and Sha",,bank_statement_line,Sales/Outward Supply,sales_revenue,Not Applicable,,synthetic
TXN001196,2025-10-20,POS MACHINE RENTAL FEE - SHANKAR-DHAR,POS machine rental fee - Shankar-Dhar,132.58,18,11.93,11.93,0.0,Shankar-Dhar,,bank_statement_line,Bank Charges/Financial Services,bank_charges,Eligible,,synthetic
TXN000878,2024-05-03,"Bera,  Parmer and Andra - broadband internet bill payment","Bera, Parmer and Andra - broadband internet bill payment",9501.18,18,0.0,0.0,1710.21,"Bera, Parmer and Andra",29HUCUE3596Q8Z9,invoice,Utilities (Business Electricity/Internet),utilities,Eligible,,synthetic
TXN002728,2025-12-06,municipal tax payment payment,municipal tax payment payment,20331.08,exempt,0.0,0.0,0.0,Vora-Subramanian,24QWTXI4928U8ZH,receipt,Exempt/Non-GST Expense,exempt_non_gst,Not Applicable,,synthetic
TXN000701,2025-10-04,Lease rental to Bhatt-Bhasin for godown,Lease rental to Bhatt-Bhasin for godown,53194.03,18,4787.47,4787.47,0.0,Bhatt-Bhasin,32KMUHR0810S9ZL,receipt,Rent/Lease of Business Premises,rent,Eligible,,synthetic
TXN002524,2026-03-17,Payment received from Ramakrishnan-Date for bulk order,Payment received from Ramakrishnan-Date for bulk order,168380.05,18,15154.2,15154.2,0.0,Ramakrishnan-Date,32DJQHI0421H9Z1,receipt,Sales/Outward Supply,sales_revenue,Not Applicable,,synthetic
TXN000750,2026-01-04,Munshi-Sachdev - Shop Rent Payment,Munshi-Sachdev - Shop Rent Payment,45444.15,18,4089.97,4089.97,0.0,Munshi-Sachdev,23ZTDRX6490I3ZV,receipt,Rent/Lease of Business Premises,rent,Eligible,,synthetic
TXN000189,2024-07-18,Kapur-Biswas - printed labels supply,Kapur-Biswas - printed labels supply,87662.04,18,0.0,0.0,15779.17,Kapur-Biswas,24SFNUX6588R3ZS,invoice,Purchase of Goods (Raw Material/Trading Stock),purchase_goods,Eligible,,synthetic
TXN001811,2026-02-27,"home travel concession booking - Kaul, Mannan and Hari","home travel concession booking - Kaul, Mannan and Hari",45523.78,5,1138.1,1138.1,0.0,"Kaul, Mannan and Hari",29FKXSZ9429Z6ZU,receipt,Employee Travel Benefits,employee_travel,Blocked,"Sec 17(5)(b)(iii) blocks ITC on travel benefits extended to employees (e.g. leave/home travel concession), unless obligatory under law.",synthetic
TXN000166,2025-05-22,Nayak-Nagarajan - raw plastic pellets supply,Nayak-Nagarajan - raw plastic pellets supply,85064.84,18,7655.84,7655.84,0.0,Nayak-Nagarajan,33APAVH8435H3ZG,receipt,Purchase of Goods (Raw Material/Trading Stock),purchase_goods,Eligible,,synthetic
TXN001494,2024-07-24,Office festival sweets order order - Kannan-Karpe,Office festival sweets order order - Kannan-Karpe,3058.81,5,76.47,76.47,0.0,Kannan-Karpe,,bank_statement_line,Food & Beverages/Outdoor Catering,food_catering,Blocked,"Sec 17(5)(b)(i) explicitly blocks ITC on food and beverages and outdoor catering, unless used to make an outward taxable supply of the same category or as part of a composite/mixed supply.",synthetic
TXN000387,2025-08-18,nair-raj - capital asset purchase - 3-phase motor,Nair-Raj - Capital Asset Purchase - 3-phase motor,138889.35,18,0.0,0.0,25000.08,Nair-Raj,23ALGHV3318N7Z5,receipt,Capital Goods,capital_goods,Eligible,,synthetic
TXN002108,2026-11-08,employee group health insurance premium payment - dora-jayaraman,employee group health insurance premium payment - Dora-Jayaraman,88369.5,18,0.0,0.0,15906.51,Dora-Jayaraman,09UDCSS3517B8ZR,receipt,Employee Insurance/Reimbursements,employee_insurance,Blocked,Sec 17(5)(b) blocks ITC on health/life insurance for employees unless it is obligatory for the employer under any law for the time being in force.,synthetic
TXN002504,2025-02-01,Payment  received from Mangat-Tiwari for retail sale,Payment received from Mangat-Tiwari for retail sale,373197.53,18,0.0,0.0,67175.56,Mangat-Tiwari,09EDIPO4445X3ZT,invoice,Sales/Outward Supply,sales_revenue,Not Applicable,,synthetic
TXN000983,2024-03-25,broadband internet charges - Kothari-Saha,broadband internet charges - Kothari-Saha,2349.92,18,211.5,211.5,0.0,Kothari-Saha,19YSFDS4818H6ZM,invoice,Utilities (Business Electricity/Internet),utilities,Eligible,,synthetic
TXN000894,2024-08-12,water supply charges - Panchal Ltd,water supply charges - Panchal Ltd,10176.54,18,915.89,915.89,0.0,Panchal Ltd,36KBVTZ7223M2ZU,invoice,Utilities (Business Electricity/Internet),utilities,Eligible,,synthetic
TXN000175,2026-08-10,saini-yohannan - adhesive tape rolls supply,Saini-Yohannan - adhesive tape rolls supply,44125.81,18,3971.32,3971.32,0.0,Saini-Yohannan,19UMXGQ3331B5Z2,invoice,Purchase of Goods (Raw Material/Trading Stock),purchase_goods,Eligible,,synthetic
TXN001033,2026-10-08,RAJA LTD - POS MACHINE RENTAL,Raja Ltd - POS machine rental,4881.19,18,439.31,439.31,0.0,Raja Ltd,23HAQFD1966F6ZH,invoice,Bank Charges/Financial Services,bank_charges,Eligible,,synthetic
TXN002190,2024-03-26,employee group health insurance premium payment - sharma-bose,employee group health insurance premium payment - Sharma-Bose,62343.31,18,5610.9,5610.9,0.0,Sharma-Bose,09NKJZF5758F2ZS,invoice,Employee Insurance/Reimbursements,employee_insurance,Blocked,Sec 17(5)(b) blocks ITC on health/life insurance for employees unless it is obligatory for the employer under any law for the time being in force.,synthetic
TXN002719,2024-12-12,municipal  tax payment payment,municipal tax payment payment,1512.45,exempt,0.0,0.0,0.0,"Konda, Batra and Gulati",27NIGLA0001E3ZH,invoice,Exempt/Non-GST Expense,exempt_non_gst,Not Applicable,,synthetic
TXN002241,2025-04-13,Das  LLC - building repair works contract,Das LLC - building repair works contract,869337.95,18,0.0,0.0,156480.83,Das LLC,23GQRMU8968Y2ZC,invoice,Works Contract/Construction of Immovable Property,works_contract,Blocked,"Sec 17(5)(c)/(d) blocks ITC on works contract services and goods/services for construction of immovable property (other than plant & machinery), even when used for business.",synthetic
TXN002742,2024-09-11,employee PF contribution pymt,employee PF contribution payment,18345.08,exempt,0.0,0.0,0.0,Bakshi-Gola,,bank_statement_line,Exempt/Non-GST Expense,exempt_non_gst,Not Applicable,,synthetic
TXN000006,2024-05-10,"PURCHASE  OF STEEL SHEETS FROM BALA, ISSAC AND SAINI","Purchase of steel sheets from Bala, Issac and Saini",16892.54,18,1520.33,1520.33,0.0,"Bala, Issac and Saini",,bank_statement_line,Purchase of Goods (Raw Material/Trading Stock),purchase_goods,Eligible,,synthetic
TXN002322,2026-06-22,construction pmt - rege-kumar for flooring and fixtures work,Construction payment - Rege-Kumar for flooring and fixtures work,49692.09,18,4472.29,4472.29,0.0,Rege-Kumar,,bank_statement_line,Works Contract/Construction of Immovable Property,works_contract,Blocked,"Sec 17(5)(c)/(d) blocks ITC on works contract services and goods/services for construction of immovable property (other than plant & machinery), even when used for business.",synthetic
TXN000914,2024-04-05,"De, Sundaram and Oza - electricity bill payment","De, Sundaram and Oza - electricity bill payment",2504.49,18,0.0,0.0,450.81,"De, Sundaram and Oza",24NTGZZ3950A5Z8,receipt,Utilities (Business Electricity/Internet),utilities,Eligible,,synthetic
TXN000057,2024-11-12,purchase of raw plastic pellets from karpe plc,Purchase of raw plastic pellets from Karpe PLC,136453.45,18,12280.81,12280.81,0.0,Karpe PLC,29DYHMC8146X9Z0,receipt,Purchase of Goods (Raw Material/Trading Stock),purchase_goods,Eligible,,synthetic
TXN002737,2025-10-02,employee  PF contribution payment,employee PF contribution payment,23207.38,exempt,0.0,0.0,0.0,Karpe-Barman,09XHFTV7804W3Z8,receipt,Exempt/Non-GST Expense,exempt_non_gst,Not Applicable,,synthetic
TXN001070,2025-02-12,"POS MACHINE RENTAL FEE - PARIKH, KAPOOR AND GILL","POS machine rental fee - Parikh, Kapoor and Gill",1570.92,18,141.38,141.38,0.0,"Parikh, Kapoor and Gill",07JDLNT7174L5Z3,receipt,Bank Charges/Financial Services,bank_charges,Eligible,,synthetic
TXN001370,2025-10-11,"Vehicle fuel purchase - Ramesh, Yogi and Chada","Vehicle fuel purchase - Ramesh, Yogi and Chada",7211.16,28,1009.56,1009.56,0.0,"Ramesh, Yogi and Chada",23MLZVJ0893X9ZB,receipt,Motor Vehicle Expenses,motor_vehicle,Blocked,"Sec 17(5)(a) blocks ITC on motor vehicles for transport of persons (seating <=13) and related services, unless used for further supply, passenger transport, or driving training.",synthetic
TXN000974,2024-01-17,"telephone/mobile plan chrgs - Bose, Taneja and Shah","telephone/mobile plan charges - Bose, Taneja and Shah",2316.94,18,0.0,0.0,417.05,"Bose, Taneja and Shah",07OHPZJ2043F6ZU,invoice,Utilities (Business Electricity/Internet),utilities,Eligible,,synthetic
TXN000615,2025-01-26,"Seshadri, Mammen and Dani - Shop Rent pmt","Seshadri, Mammen and Dani - Shop Rent Payment",50596.49,18,4553.69,4553.69,0.0,"Seshadri, Mammen and Dani",33SEPZT7230X4ZT,invoice,Rent/Lease of Business Premises,rent,Eligible,,synthetic
TXN002615,2026-03-22,government license fee pmt,government license fee payment,48311.42,exempt,0.0,0.0,0.0,Das-Dey,07QGOPO4219F7ZG,receipt,Exempt/Non-GST Expense,exempt_non_gst,Not Applicable,,synthetic
TXN001434,2025-08-10,Office festival sweets order order - Roy PLC,Office festival sweets order order - Roy PLC,2890.92,5,72.28,72.28,0.0,Roy PLC,23NSNXO8447Y6ZR,receipt,Food & Beverages/Outdoor Catering,food_catering,Blocked,"Sec 17(5)(b)(i) explicitly blocks ITC on food and beverages and outdoor catering, unless used to make an outward taxable supply of the same category or as part of a composite/mixed supply.",synthetic
TXN001112,2024-01-25,Kara-Luthra - Bank chrgs,Kara-Luthra - Bank Charges,4651.37,18,418.62,418.62,0.0,Kara-Luthra,24CPQSI1581A4ZQ,invoice,Bank Charges/Financial Services,bank_charges,Eligible,,synthetic
TXN000212,2026-07-08,Sura and Sons - Capital Asset Purchase - commercial printer,Sura and Sons - Capital Asset Purchase - commercial printer,61965.71,18,0.0,0.0,11153.83,Sura and Sons,32WWLFQ7357G4ZS,invoice,Capital Goods,capital_goods,Eligible,,synthetic
TXN000951,2026-04-09,Pau-Gera - water supply bill payment,Pau-Gera - water supply bill payment,4765.92,18,428.94,428.94,0.0,Pau-Gera,,bank_statement_line,Utilities (Business Electricity/Internet),utilities,Eligible,,synthetic
TXN001199,2026-07-07,POS  MACHINE RENTAL FEE - BHARDWAJ-AGRAWAL,POS machine rental fee - Bhardwaj-Agrawal,2395.6,18,215.6,215.6,0.0,Bhardwaj-Agrawal,,bank_statement_line,Bank Charges/Financial Services,bank_charges,Eligible,,synthetic
TXN002487,2026-05-05,Payment received from Thakur Inc for bulk order,Payment received from Thakur Inc for bulk order,258872.95,18,23298.56,23298.56,0.0,Thakur Inc,,bank_statement_line,Sales/Outward Supply,sales_revenue,Not Applicable,,synthetic
TXN001690,2024-02-13,club membership renewal - Chada-Rastogi,club membership renewal - Chada-Rastogi,12320.37,18,1108.84,1108.84,0.0,Chada-Rastogi,23BHTRD1781X8ZA,receipt,Club/Health/Fitness Memberships,club_membership,Blocked,"Sec 17(5)(b)(ii) blocks ITC on membership of a club, health, or fitness centre.",synthetic
TXN001723,2024-03-27,"wellness center package - Mody, Nath and Suri","wellness center package - Mody, Nath and Suri",35691.65,18,3212.25,3212.25,0.0,"Mody, Nath and Suri",,bank_statement_line,Club/Health/Fitness Memberships,club_membership,Blocked,"Sec 17(5)(b)(ii) blocks ITC on membership of a club, health, or fitness centre.",synthetic
TXN002450,2025-02-18,"Sur, Mitter and Patel - Sales inv","Sur, Mitter and Patel - Sales Invoice",97604.67,18,0.0,0.0,17568.84,"Sur, Mitter and Patel",19POAMA0373I8ZW,invoice,Sales/Outward Supply,sales_revenue,Not Applicable,,synthetic
TXN000087,2026-07-10,pymt to Koshy PLC for plastic granules,Payment to Koshy PLC for plastic granules,54454.03,18,4900.86,4900.86,0.0,Koshy PLC,36DWBKS4445E6ZE,receipt,Purchase of Goods (Raw Material/Trading Stock),purchase_goods,Eligible,,synthetic
TXN001390,2026-06-10,Sur-Chopra - car repair,Sur-Chopra - car repair,21654.36,28,3031.61,3031.61,0.0,Sur-Chopra,27TMVEC5387O4Z3,invoice,Motor Vehicle Expenses,motor_vehicle,Blocked,"Sec 17(5)(a) blocks ITC on motor vehicles for transport of persons (seating <=13) and related services, unless used for further supply, passenger transport, or driving training.",synthetic
TXN002139,2026-03-14,staff life insurance premium premium payment - Kannan-Sehgal,staff life insurance premium premium payment - Kannan-Sehgal,80775.88,18,7269.83,7269.83,0.0,Kannan-Sehgal,,bank_statement_line,Employee Insurance/Reimbursements,employee_insurance,Blocked,Sec 17(5)(b) blocks ITC on health/life insurance for employees unless it is obligatory for the employer under any law for the time being in force.,synthetic
TXN000408,2024-06-20,payroll processing charges - More-Nori,payroll processing charges - More-Nori,33634.14,18,3027.07,3027.07,0.0,More-Nori,09QXAOP1761S7Z2,invoice,Input Services (Professional/Consulting/IT),input_services,Eligible,,synthetic
TXN000600,2026-02-22,"Professional fees to Sahota, Kothari and Dutta for chartered accountant","Professional fees to Sahota, Kothari and Dutta for chartered accountant",17780.96,18,0.0,0.0,3200.57,"Sahota, Kothari and Dutta",,bank_statement_line,Input Services (Professional/Consulting/IT),input_services,Eligible,,synthetic
TXN000445,2025-04-21,"Professional fees to Divan, Keer and Chauhan for chartered accountant","Professional fees to Divan, Keer and Chauhan for chartered accountant",38794.93,18,3491.55,3491.55,0.0,"Divan, Keer and Chauhan",,bank_statement_line,Input Services (Professional/Consulting/IT),input_services,Eligible,,synthetic
TXN000311,2026-08-29,"purchse of industrial sewing machine - Mani, Karan and Chana","Purchase of industrial sewing machine - Mani, Karan and Chana",739518.21,18,66556.64,66556.64,0.0,"Mani, Karan and Chana",,bank_statement_line,Capital Goods,capital_goods,Eligible,,synthetic
TXN000296,2026-12-26,natarajan-purohit - capital asset purchase - commercial printer,Natarajan-Purohit - Capital Asset Purchase - commercial printer,555900.82,18,50031.07,50031.07,0.0,Natarajan-Purohit,24MBNRI5383G5ZR,invoice,Capital Goods,capital_goods,Eligible,,synthetic
TXN001683,2025-07-31,"gym membership - Doctor, Narain and Thakkar","gym membership - Doctor, Narain and Thakkar",43949.93,18,0.0,0.0,7910.99,"Doctor, Narain and Thakkar",,bank_statement_line,Club/Health/Fitness Memberships,club_membership,Blocked,"Sec 17(5)(b)(ii) blocks ITC on membership of a club, health, or fitness centre.",synthetic
TXN000661,2026-11-17,KATA PLC - SHOP RENT PAYMENT,Kata PLC - Shop Rent Payment,42359.64,18,3812.37,3812.37,0.0,Kata PLC,36WIOHI0005D9ZK,invoice,Rent/Lease of Business Premises,rent,Eligible,,synthetic
TXN000564,2025-02-04,payroll processing chrgs - Dugar-Ghosh,payroll processing charges - Dugar-Ghosh,55420.17,18,4987.81,4987.81,0.0,Dugar-Ghosh,29ATLJQ0114E9ZM,receipt,Input Services (Professional/Consulting/IT),input_services,Eligible,,synthetic
TXN002678,2026-02-16,"Upadhyay, Kunda and Pant - professional tax pymt","Upadhyay, Kunda and Pant - professional tax payment",32976.53,exempt,0.0,0.0,0.0,"Upadhyay, Kunda and Pant",,bank_statement_line,Exempt/Non-GST Expense,exempt_non_gst,Not Applicable,,synthetic
TXN001208,2026-03-28,Vehicle  vehicle insurance premium - Agrawal Ltd,Vehicle vehicle insurance premium - Agrawal Ltd,25930.21,28,0.0,0.0,7260.46,Agrawal Ltd,,bank_statement_line,Motor Vehicle Expenses,motor_vehicle,Blocked,"Sec 17(5)(a) blocks ITC on motor vehicles for transport of persons (seating <=13) and related services, unless used for further supply, passenger transport, or driving training.",synthetic
TXN000786,2024-02-19,Johal PLC - Shop Rent pmt,Johal PLC - Shop Rent Payment,93925.9,18,0.0,0.0,16906.66,Johal PLC,29JFXEZ1720G9ZX,receipt,Rent/Lease of Business Premises,rent,Eligible,,synthetic
TXN002526,2024-01-24,Sale invc to Vaidya PLC,Sale invoice to Vaidya PLC,331947.63,18,29875.28,29875.28,0.0,Vaidya PLC,,bank_statement_line,Sales/Outward Supply,sales_revenue,Not Applicable,,synthetic
TXN002265,2025-11-30,Palla-Bala - warehouse construction contract,Palla-Bala - warehouse construction contract,897489.52,18,80774.05,80774.05,0.0,Palla-Bala,09CNIWP9093C5ZP,invoice,Works Contract/Construction of Immovable Property,works_contract,Blocked,"Sec 17(5)(c)/(d) blocks ITC on works contract services and goods/services for construction of immovable property (other than plant & machinery), even when used for business.",synthetic
TXN001554,2026-09-26,catering pmt - ganesan group,Catering payment - Ganesan Group,2472.22,5,61.8,61.8,0.0,Ganesan Group,,bank_statement_line,Food & Beverages/Outdoor Catering,food_catering,Blocked,"Sec 17(5)(b)(i) explicitly blocks ITC on food and beverages and outdoor catering, unless used to make an outward taxable supply of the same category or as part of a composite/mixed supply.",synthetic
TXN001611,2026-03-01,"Kamdar, Chowdhury and Keer - Membership Fee","Kamdar, Chowdhury and Keer - Membership Fee",6475.7,18,582.82,582.82,0.0,"Kamdar, Chowdhury and Keer",27VILKX1196U1ZX,receipt,Club/Health/Fitness Memberships,club_membership,Blocked,"Sec 17(5)(b)(ii) blocks ITC on membership of a club, health, or fitness centre.",synthetic
TXN002352,2026-11-29,Purohit-Kapur - building repair works contract,Purohit-Kapur - building repair works contract,51250.48,18,0.0,0.0,9225.09,Purohit-Kapur,,bank_statement_line,Works Contract/Construction of Immovable Property,works_contract,Blocked,"Sec 17(5)(c)/(d) blocks ITC on works contract services and goods/services for construction of immovable property (other than plant & machinery), even when used for business.",synthetic
TXN001482,2024-10-23,"Aurora, Biswas and Chana - client meeting refreshments","Aurora, Biswas and Chana - client meeting refreshments",6867.98,5,171.7,171.7,0.0,"Aurora, Biswas and Chana",24HZQIK3646K3ZP,invoice,Food & Beverages/Outdoor Catering,food_catering,Blocked,"Sec 17(5)(b)(i) explicitly blocks ITC on food and beverages and outdoor catering, unless used to make an outward taxable supply of the same category or as part of a composite/mixed supply.",synthetic
TXN000150,2026-03-13,purch of packaging material from Bakshi Inc,Purchase of packaging material from Bakshi Inc,47518.3,18,4276.65,4276.65,0.0,Bakshi Inc,29GPSHY0882T9ZM,receipt,Purchase of Goods (Raw Material/Trading Stock),purchase_goods,Eligible,,synthetic
TXN000007,2025-06-30,Sen PLC - yarn supply,Sen PLC - yarn supply,83207.27,18,0.0,0.0,14977.31,Sen PLC,,bank_statement_line,Purchase of Goods (Raw Material/Trading Stock),purchase_goods,Eligible,,synthetic
TXN001511,2024-05-18,Kapadia-Dave - festival sweets order,Kapadia-Dave - festival sweets order,18458.94,5,0.0,0.0,922.95,Kapadia-Dave,,bank_statement_line,Food & Beverages/Outdoor Catering,food_catering,Blocked,"Sec 17(5)(b)(i) explicitly blocks ITC on food and beverages and outdoor catering, unless used to make an outward taxable supply of the same category or as part of a composite/mixed supply.",synthetic
TXN001205,2024-01-06,payment to barad plc for car servicing,Payment to Barad PLC for car servicing,37228.39,28,0.0,0.0,10423.95,Barad PLC,24XLHUK3613U8Z4,invoice,Motor Vehicle Expenses,motor_vehicle,Blocked,"Sec 17(5)(a) blocks ITC on motor vehicles for transport of persons (seating <=13) and related services, unless used for further supply, passenger transport, or driving training.",synthetic
TXN001210,2025-07-31,Dayal-Chauhan - vehicle insurance premium,Dayal-Chauhan - vehicle insurance premium,1522.92,28,0.0,0.0,426.42,Dayal-Chauhan,09MNZOZ0197T2Z8,invoice,Motor Vehicle Expenses,motor_vehicle,Blocked,"Sec 17(5)(a) blocks ITC on motor vehicles for transport of persons (seating <=13) and related services, unless used for further supply, passenger transport, or driving training.",synthetic
TXN001042,2024-03-28,cheque bounce fee fee - bahl group,cheque bounce fee fee - Bahl Group,1562.69,18,140.64,140.64,0.0,Bahl Group,,bank_statement_line,Bank Charges/Financial Services,bank_charges,Eligible,,synthetic
TXN001364,2026-07-28,Balasubramanian-Som - vehicle insurance premium,Balasubramanian-Som - vehicle insurance premium,3805.6,28,0.0,0.0,1065.57,Balasubramanian-Som,,bank_statement_line,Motor Vehicle Expenses,motor_vehicle,Blocked,"Sec 17(5)(a) blocks ITC on motor vehicles for transport of persons (seating <=13) and related services, unless used for further supply, passenger transport, or driving training.",synthetic
TXN000609,2024-02-21,Yadav-Anand - Shop Rent Payment,Yadav-Anand - Shop Rent Payment,15194.37,18,1367.49,1367.49,0.0,Yadav-Anand,33YVSVO4765N6ZL,invoice,Rent/Lease of Business Premises,rent,Eligible,,synthetic
TXN000482,2025-05-15,"SOFTWARE SUBSCRIPTION CHARGES - DEEP, PURI AND DUBE","software subscription charges - Deep, Puri and Dube",40944.95,18,0.0,0.0,7370.09,"Deep, Puri and Dube",23MRRND0180N9ZW,invoice,Input Services (Professional/Consulting/IT),input_services,Eligible,,synthetic
TXN002226,2024-05-18,"Construction payment - Muni, Sawhney and Kara for shop renovation works","Construction payment - Muni, Sawhney and Kara for shop renovation works",523987.66,18,47158.89,47158.89,0.0,"Muni, Sawhney and Kara",29FZLYO1656Z4Z2,invoice,Works Contract/Construction of Immovable Property,works_contract,Blocked,"Sec 17(5)(c)/(d) blocks ITC on works contract services and goods/services for construction of immovable property (other than plant & machinery), even when used for business.",synthetic
TXN002622,2024-04-07,"AGATE, SONI AND AGRAWAL - EMPLOYEE PF CONTRIBUTION","Agate, Soni and Agrawal - employee PF contribution",13761.01,exempt,0.0,0.0,0.0,"Agate, Soni and Agrawal",,bank_statement_line,Exempt/Non-GST Expense,exempt_non_gst,Not Applicable,,synthetic
TXN000606,2026-05-22,Monthly  rent - Kale PLC,Monthly rent - Kale PLC,72534.75,18,6528.12,6528.12,0.0,Kale PLC,36LCQPB6830G5ZS,invoice,Rent/Lease of Business Premises,rent,Eligible,,synthetic
TXN000410,2026-02-17,Rattan  Inc - payroll processing services invoice,Rattan Inc - payroll processing services invoice,56076.9,18,5046.92,5046.92,0.0,Rattan Inc,,bank_statement_line,Input Services (Professional/Consulting/IT),input_services,Eligible,,synthetic
TXN000297,2026-11-18,NAGY-GULATI - CAPITAL ASSET PURCHASE - 3-PHASE MOTOR,Nagy-Gulati - Capital Asset Purchase - 3-phase motor,233436.77,18,21009.31,21009.31,0.0,Nagy-Gulati,,bank_statement_line,Capital Goods,capital_goods,Eligible,,synthetic
TXN001155,2025-06-18,dasgupta-balasubramanian - bank chrgs,Dasgupta-Balasubramanian - Bank Charges,4307.3,18,387.65,387.65,0.0,Dasgupta-Balasubramanian,29HSDPC2854S8ZI,receipt,Bank Charges/Financial Services,bank_charges,Eligible,,synthetic
TXN001600,2026-11-05,Singhal and Sons - office tea/coffee supplies,Singhal and Sons - office tea/coffee supplies,971.72,5,0.0,0.0,48.59,Singhal and Sons,33EUFSP3052N2ZI,receipt,Food & Beverages/Outdoor Catering,food_catering,Blocked,"Sec 17(5)(b)(i) explicitly blocks ITC on food and beverages and outdoor catering, unless used to make an outward taxable supply of the same category or as part of a composite/mixed supply.",synthetic
TXN002206,2024-03-03,char inc - warehouse construction contract,Char Inc - warehouse construction contract,134465.25,18,12101.87,12101.87,0.0,Char Inc,29RNVCE9943N5ZA,invoice,Works Contract/Construction of Immovable Property,works_contract,Blocked,"Sec 17(5)(c)/(d) blocks ITC on works contract services and goods/services for construction of immovable property (other than plant & machinery), even when used for business.",synthetic
TXN001712,2025-09-25,club  membership renewal - Garde-Bhasin,club membership renewal - Garde-Bhasin,34041.52,18,3063.74,3063.74,0.0,Garde-Bhasin,32DPHNK9049X3Z0,invoice,Club/Health/Fitness Memberships,club_membership,Blocked,"Sec 17(5)(b)(ii) blocks ITC on membership of a club, health, or fitness centre.",synthetic
TXN002343,2025-08-19,"Gour, Sawhney and Deshpande - shop renovation works","Gour, Sawhney and Deshpande - shop renovation works",681374.81,18,61323.74,61323.74,0.0,"Gour, Sawhney and Deshpande",,bank_statement_line,Works Contract/Construction of Immovable Property,works_contract,Blocked,"Sec 17(5)(c)/(d) blocks ITC on works contract services and goods/services for construction of immovable property (other than plant & machinery), even when used for business.",synthetic
